EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0.0,0,INITIAL_BUFFERING,Starting,0
0,0.0,0,INITIAL_BUFFERING,Starting,0
0.005883455276489258,0.0,1,PLAY,InitialBuffering-Play,0
0.005700826644897461,0.0,1,PLAY,Writing,10000000
0.006299257278442383,0.0,0,PLAY,StillPlaying,10000000
0.08336496353149414,0.08198070526123047,1,PLAY,Writing,10000000.0
5.0068676471710205,5.00028395652771,0,PLAY,StillPlaying,10000000.0
5.3360021114349365,5.33465838432312,1,PLAY,Writing,10000000.0
8.61590051651001,8.609346389770508,2,PLAY,Writing,10000000.0
10.00740385055542,10.000829458236694,1,PLAY,StillPlaying,10000000.0
11.403079271316528,11.401718616485596,2,PLAY,Writing,10000000.0
14.4889395236969,14.48749041557312,3,PLAY,Writing,10000000.0
15.007820129394531,15.00123405456543,2,PLAY,StillPlaying,10000000.0
20.008318662643433,20.001745223999023,1,PLAY,StillPlaying,10000000.0
22.928207635879517,22.92679762840271,2,PLAY,Writing,10000000.0
25.008976697921753,25.002398252487183,1,PLAY,StillPlaying,10000000.0
25.477267026901245,25.475823402404785,2,PLAY,Writing,10000000.0
28.498722553253174,28.49216628074646,3,PLAY,Writing,10000000.0
30.011356353759766,30.00477623939514,2,PLAY,StillPlaying,10000000.0
35.012038469314575,35.00546145439148,1,PLAY,StillPlaying,10000000.0
36.734095096588135,36.732725858688354,2,PLAY,Writing,10000000.0
39.77820634841919,39.77164006233215,3,PLAY,Writing,10000000.0
40.01244902610779,40.005876779556274,2,PLAY,StillPlaying,10000000.0
45.01293087005615,45.00635623931885,1,PLAY,StillPlaying,10000000.0
47.856629371643066,47.85520839691162,2,PLAY,Writing,10000000.0
50.01364827156067,50.00706720352173,1,PLAY,StillPlaying,10000000.0
50.61099410057068,50.60964608192444,2,PLAY,Writing,10000000.0
53.27358913421631,53.27218818664551,3,PLAY,Writing,10000000.0
55.0140540599823,55.00746774673462,2,PLAY,StillPlaying,10000000.0
60.014612436294556,60.00802969932556,1,PLAY,StillPlaying,10000000.0
60.675917625427246,60.67457556724548,2,PLAY,Writing,10000000.0
63.46656131744385,63.46519589424133,3,PLAY,Writing,10000000.0
65.01495027542114,65.00836205482483,2,PLAY,StillPlaying,10000000.0
69.80745339393616,69.80077171325684,2,END,TheEnd,0
