0;+Inf
1000;0
1999;0
2999;31852.316316316315
3999;0
4999;0
5999;30506.242242242242
7000;0
8000;0
9000;30988.63663663664
9999;0
11000;0
12000;0
13000;0
14000;0
15000;0
16000;0
17000;0
18000;0
18999;31053.077077077076
20000;0
21000;0
21999;30723.97997997998
23000;0
23999;0
25000;31100.792
26000;0
27000;0
28000;0
29000;31119.3993993994
30000;0
31000;0
32000;0
33000;0
34000;0
34999;0
36000;0
37000;30304.84
38000;0
39000;31064.984
40000;0
40999;0
42000;0
43000;0
44000;0
45000;0
46000;0
47000;0
48000;30998.606606606605
48999;0
50000;30601.552
50999;0
52000;0
53000;0
54000;30988.85285285285
55000;0
56000;0
57000;0
58000;0
59000;0
60000;0
61000;0
62000;31053.416
63000;0
63999;0
65000;0
66000;0
0;+Inf
1000;0
2000;0
3000;0
4000;0
5000;31820.464
6000;0
7000;0
8000;30506.242242242242
9022;0
10000;0
11000;30988.63663663664
12000;0
13000;0
14001;31022.024
15000;0
16000;0
17027;0
18000;0
19000;0
20000;0
21000;0
22001;0
23000;30723.97997997998
24000;0
25000;31131.923923923925
26000;0
27000;0
28001;31088.28
29001;0
30001;0
31000;0
32000;0
33000;0
34000;0
35001;0
36000;30335.175175175176
37000;0
38000;0
39001;31064.984
40000;0
41000;0
42000;0
43000;0
44000;0
45000;0
46000;0
47000;30967.608
48000;0
49000;0
50000;30632.184184184185
51000;0
52000;0
53000;30957.864
54000;0
55000;0
56001;0
57000;0
57999;0
59000;0
60000;31053.416
61000;0
62000;0
0;+Inf
1000;0
2000;31852.316316316315
2999;0
4000;0
4999;0
6000;30475.736
6999;0
8000;0
9000;0
10000;30957.648
10999;0
12000;0
13000;31022.024
13999;0
15000;0
15999;0
0;+Inf
1000;0
2000;0
3000;0
3999;0
4999;30957.648
6000;0
6999;0
7999;0
8999;0
9999;0
10999;31022.024
11999;0
12999;0
13999;0
14999;0
15999;30693.256
16999;0
17999;0
18999;0
19999;0
20999;31131.923923923925
21999;0
22999;0
23999;0
24999;0
25999;0
26999;31088.28
27999;0
28999;0
29999;0
31000;0
31999;30335.175175175176
33000;0
33999;0
34999;0
35999;0
36999;31096.08008008008
37999;0
38999;0
39999;0
40999;0
41999;0
43000;30967.608
43999;0
44999;0
45999;0
46999;0
47999;30632.184184184185
49000;0
49999;0
51000;0
51999;0
52999;30957.864
54000;0
54999;0
55999;0
56999;0
57999;0
59000;31022.393606393605
59999;0
60999;0
61999;0
63000;0
0;+Inf
1000;0
1999;0
3000;0
4000;31852.316316316315
4999;0
5999;0
7000;30475.736
7999;0
9000;0
9999;30988.63663663664
10999;0
11999;0
12999;31022.024
13999;0
14999;0
15999;0
16999;0
17999;0
18999;0
20000;0
20999;30723.97997997998
21999;0
22999;0
23999;0
24999;31131.923923923925
25999;0
26999;0
28000;0
28999;0
29999;0
30999;0
32000;0
32999;31119.3993993994
33999;0
34999;0
36000;30304.84
37000;0
37999;0
38999;31064.984
39999;0
40999;0
41999;0
42999;0
43999;0
44999;0
45999;0
47000;30967.608
47999;0
48999;0
49999;30601.552
50999;0
51999;0
52999;30988.85285285285
53999;0
54999;0
56000;0
56999;0
57999;0
58999;0
59999;31053.416
61000;0
61999;0
62999;0
63999;0
65000;0
